id,title,abstract,doi,url,journal,pub_date,authors,type,created_at,updated_at
116,Test Nature Paper - Modified Parser,This is a test abstract for the modified Nature parser.,test-nature-20250912164551,https://www.nature.com/test/article,Nature,2025-09-12,Test Author,test,2025-09-12T16:45:51,2025-09-12T16:45:51
189,Causal inference unveils how forest coverage mitigates excess snakebite cases during rainfall seasons in Colombia,"Snakebite envenoming is a neglected tropical disease that affects mainly rural populations, where antivenom is scarce. Understanding environmental drivers of snakebite incidence is critical for public health preparedness. This study employs causal inference to assess the impact of rainfall on snakebite surges in Colombia, with broader implications for tropical regions. Using a spatiotemporal database of monthly snakebite case data (2007–2021), we applied machine learning models to estimate the causal effect of rainfall, considering nine atmospheric and oceanic indices, forest coverage, and rural GDP. High rainfall significantly causes excess snakebite cases (i.e., increasing the likelihood that the number of cases exceeds what is expected based on the standardized incidence ratio): a one-standard-deviation increase in rainfall (134.65 mm) led to a 2.1% rise in excess snakebite cases (95% CI 1.3–2.9). Forest coverage exhibited an inverse relationship with the impact of rainfall on excess cases, which is positive in regions with < 50% forest cover. These findings highlight the need for climate-adaptive public health strategies. Deforested regions face heightened snakebite risk during heavy rainfall, emphasizing the role of deforestation in shaping disease dynamics. As climate change alters precipitation patterns, integrating ecological and epidemiological data is crucial for forecasting and mitigating snakebite burden globally.",s41598-025-17405-3,https://www.nature.com/articles/s41598-025-17405-3,Scientific Reports,2025-09-10,,incremental,2025-09-12T18:16:21,2025-09-12T18:16:21
162,Deciphering regulatory sequence grammar,"Leveraging data generated by UUATAC-seq, a method for cross-species chromatin accessibility profiling, the deep learning model NvwaCE decipherscis-regulatory grammar from DNA sequence. Authors and AffiliationsNature Methodshttps://www.nature.com/nmeth/Lei TangAuthorsLei TangView author publicationsSearch author on:PubMedGoogle ScholarCorresponding authorCorrespondence toLei Tang. Reprints and permissions Cite this articleTang, L. Deciphering regulatory sequence grammar.Nat Methods(2025). https://doi.org/10.1038/s41592-025-02827-8Download citationPublished:10 September 2025DOI:https://doi.org/10.1038/s41592-025-02827-8Share this articleAnyone you share the following link with will be able to read this content:Get shareable linkSorry, a shareable link is not currently available for this article.Copy to clipboardProvided by the Springer Nature SharedIt content-sharing initiative",s41592-025-02827-8,https://www.nature.com/articles/s41592-025-02827-8,Nature Methods,2025-09-10,,incremental,2025-09-12T17:57:09,2025-09-12T17:57:09
161,Benchmarking genomic language models,"Supervised deep learning models have a dazzling track record in many computational genomics tasks, but their success relies on vast (and often costly) experimental data for training. Recently, genomic language models (gLMs), whose pretraining needs only (although large numbers of) DNA sequences, have manifested as a potentially appealing alternative and are interesting many researchers in the genomics and computational biology community, including Peter Koo of Cold Spring Harbor Laboratory. “We were initially excited by the growing class of gLMs that aim to learn unsupervised representations of DNA,” he says. However, after building these models with his team, “We found that they consistently underperformed well-established supervised models.” Intrigued to know whether these observations prevail more generally, Koo and his colleagues shifted their project to perform a rigorous evaluation of gLMs.Challenges abound for benchmarking analysis in such a fast-paced area. Although new gLMs keep emerging, issues with code and data availability often hinder full reproducibility. “Many functional genomics modeling papers provided code and data, but these were often incomplete or difficult to adapt,” says Koo. This led the team to concentrate on a small but representative set of gLMs whose data and model baselines could be reliably obtained. Another important distinction of their benchmarking study compared to previous efforts is the tasks they designed. “The key innovation of our evaluation is its focus on biologically aligned tasks that are tied to open questions in gene regulation,” notes Koo. “In contrast, most existing benchmarks rely on classification tasks that originated in the machine learning literature and continue to be propagated in gLM studies, despite being disconnected from how models would be used to advance biological understanding and discovery.”",s41592-025-02829-6,https://www.nature.com/articles/s41592-025-02829-6,Nature Methods,2025-09-10,,incremental,2025-09-12T17:57:09,2025-09-12T17:57:09
156,AI models help diagnose inflammatory arthritis,"1. Phatak, S.et al.Rheumatology.64, 5, 2525-2532 (2025).ArticlePubMedGoogle ScholarDownload references",d44151-025-00169-0,https://www.nature.com/articles/d44151-025-00169-0,Nature India,2025-09-10,,incremental,2025-09-12T17:52:15,2025-09-12T17:52:15
155,Active use of latent tree-structured sentence representation in humans and large language models,"Understanding how sentences are represented in the human brain, as well as in large language models (LLMs), poses a substantial challenge for cognitive science. Here we develop a one-shot learning task to investigate whether humans and LLMs encode tree-structured constituents within sentences. Participants (totalN= 372, native Chinese or English speakers, and bilingual in Chinese and English) and LLMs (for example, ChatGPT) were asked to infer which words should be deleted from a sentence. Both groups tend to delete constituents, instead of non-constituent word strings, following rules specific to Chinese and English, respectively. The results cannot be explained by models that rely only on word properties and word positions. Crucially, based on word strings deleted by either humans or LLMs, the underlying constituency tree structure can be successfully reconstructed. Altogether, these results demonstrate that latent tree-structured sentence representations emerge in both humans and LLMs.",s41562-025-02297-0,https://www.nature.com/articles/s41562-025-02297-0,Nature Human Behaviour,2025-09-10,,incremental,2025-09-12T17:51:01,2025-09-12T17:51:01
134,Long-range PM2.5pollution and health impacts from the 2023 Canadian wildfires,"Smoke from extreme wildfires in Canada adversely affected air quality in many regions in 20231,2. Here we use satellite observations, machine learning and a chemical transport model to quantify global and regional PM2.5(particulate matter less than 2.5 μm in diameter) exposure and human health impacts related to the 2023 Canadian wildfires. We find that the fires increased annual PM2.5exposure worldwide by 0.17 μg m–3(95% confidence interval, 0.09–0.26 μg m–3). North America had the largest increase in annual mean exposure (1.08 μg m–3; 0.82–1.34 μg m–3), but there were also increases in Europe (0.41 μg m–3; 0.32–0.50 μg m–3) owing to long-range transport. Annual mean PM2.5exposure in Canada increased by 3.82 μg m–3(3.00–4.64 μg m–3). In the USA, the contribution of the Canadian fires to increased PM2.5was 1.49 μg m–3(1.22–1.77 μg m–3), four times as large as the contribution from the 2023 wildfires originating in the USA. We find that 354 million (277–421 million) people in North America and Europe were exposed to daily PM2.5air pollution caused by Canadian wildfires in 2023. We estimate that 5,400 (3,400–7,400) acute deaths in North America and 64,300 (37,800–90,900) chronic deaths in North America and Europe were attributable to PM2.5exposure to the 2023 Canadian wildfires. Our results highlight the far-reaching PM2.5pollution and health burden that large wildfires can have in a single year.",s41586-025-09482-1,https://www.nature.com/articles/s41586-025-09482-1,Nature,2025-09-10,,incremental,2025-09-12T16:52:32,2025-09-12T16:52:32
123,Sampling-enabled scalable manifold learning unveils the discriminative cluster structure of high-dimensional data,"As a pivotal branch of machine learning, manifold learning uncovers the intrinsic low-dimensional structure within complex non-linear manifolds in high-dimensional space for visualization, classification, clustering and gaining key insights. Although existing techniques have achieved remarkable successes, they suffer from extensive distortions of cluster structure, which hinders the understanding of underlying patterns. Scalability issues also limit their applicability for handling large-scale data. Here we propose a sampling-based scalable manifold learning technique that enables uniform and discriminative embedding (SUDE) for large-scale and high-dimensional data. It starts by seeking a set of landmarks to construct the low-dimensional skeleton of the entire data and then incorporates the non-landmarks into the learned space by constrained locally linear embedding. We empirically validated the effectiveness of SUDE on synthetic datasets and real-world benchmarks and applied it to analyse single-cell data and detect anomalies in electrocardiogram signals. SUDE exhibits a distinct advantage in scalability with respect to data size and embedding dimension and shows promising performance in cluster separation, integrity and global structure preservation. The experiments also demonstrate notable robustness in embedding quality as the sampling rate decreases.",s42256-025-01112-9,https://www.nature.com/articles/s42256-025-01112-9,Nature Machine Intelligence,2025-09-10,,incremental,2025-09-12T16:47:07,2025-09-12T16:47:07
122,Towards agentic science for advancing scientific discovery,"Artificial intelligence is transforming scientific discovery through (semi-)autonomous agents capable of reasoning, planning, and interacting with digital and physical environments. This Comment explores the foundations and frontiers of agentic science, outlining its emerging directions, current limitations, and the pathways for responsible integration into scientific practice. Lindsay, R. K., Buchanan, B. G., Feigenbaum, E. A. & Lederberg, J.Artif. Intell.61, 209–261 (1993).ArticleGoogle ScholarWeizenbaum, J.Commun. ACM9, 36–45 (1966).ArticleGoogle ScholarLeCun, Y., Bengio, Y. & Hinton, G.Nature521, 436–444 (2015).ArticleGoogle ScholarVaswani, A. et al. Preprint athttps://doi.org/10.48550/arxiv.1706.03762(2017).Masterman, T., Besen, S., Sawtell, M. & Chao A. Preprint athttps://doi.org/10.48550/arxiv.2404.11584(2024).Gridach, M., Nanavati, J., Abidine, K. Z. E., Mendes, L. & Mack, C. Preprint athttps://doi.org/10.48550/arxiv.2503.08979(2025).Lu, C. et al. Preprint athttps://doi.org/10.48550/arxiv.2408.06292(2024).Narayanan, S. M. et al. Preprint athttps://doi.org/10.48550/arxiv.2506.17238(2025).Mishra, V. et al. Preprint athttps://doi.org/10.48550/arxiv.2412.09560(2024).Boiko, D. A., MacKnight, R., Kline, B. & Gomes, G.Nature624, 570–578 (2023).ArticleGoogle ScholarSzymanski, N. J. et al.Nature624, 86–91 (2023).ArticleGoogle ScholarChiang, Y., Hsieh, E. Chou, C.-H. & Riebesell, J. Preprint athttps://doi.org/10.48550/arxiv.2401.17244(2024).Kwa, T. et al. Preprint athttps://doi.org/10.48550/arxiv.2503.14499(2025).Yao, S., Shinn, N., Razavi, P. & Narasimhan K. Preprint athttps://doi.org/10.48550/arxiv.2406.12045(2024).Krishnan, N. M. A. et al. Preprint athttps://doi.org/10.48550/arxiv.2501.10385(2024).Download references H.X. acknowledges funding support from the US Department of Energy, Office of Science, Basic Energy Sciences, Chemical Sciences, Geosciences, and Biosciences Division (DE-SC0023323). Authors and AffiliationsDepartment of Chemical Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USAHongliang XinDepartment of Chemical Engineering, Carnegie Mellon University, Pittsburgh, PA, USAJohn R. KitchinDepartment of Chemical Engineering, Massachusetts Institute of Technology, Cambridge, MA, USAHeather J. KulikAuthorsHongliang XinView author publicationsSearch author on:PubMedGoogle ScholarJohn R. KitchinView author publicationsSearch author on:PubMedGoogle ScholarHeather J. KulikView author publicationsSearch author on:PubMedGoogle ScholarCorresponding authorsCorrespondence toHongliang Xin,John R. KitchinorHeather J. Kulik. Competing interestsThe authors declare no competing interests. Peer review informationNature Machine Intelligencethanks Edvin Fako, and the other, anonymous, reviewer(s) for their contribution to the peer review of this work. Reprints and permissions Cite this articleXin, H., Kitchin, J.R. & Kulik, H.J. Towards agentic science for advancing scientific discovery.Nat Mach Intell(2025). https://doi.org/10.1038/s42256-025-01110-xDownload citationPublished:10 September 2025DOI:https://doi.org/10.1038/s42256-025-01110-xShare this articleAnyone you share the following link with will be able to read this content:Get shareable linkSorry, a shareable link is not currently available for this article.Copy to clipboardProvided by the Springer Nature SharedIt content-sharing initiative",s42256-025-01110-x,https://www.nature.com/articles/s42256-025-01110-x,Nature Machine Intelligence,2025-09-10,,incremental,2025-09-12T16:47:07,2025-09-12T16:47:07
1,August Issue,"Generative drug design opens avenues for discovering novel compounds within the vast chemical space rather than conventional screening against limited libraries. However, the practical utility of the generated molecules is frequently constrained, as many designs prioritize a narrow range of pharmacological properties and neglect physical reliability, which hinders the success rate of subsequent wet-laboratory evaluations. Here, to address this, we propose ED2Mol, a deep learning-based approach that leverages fundamental electron density information to improve de novo molecular generation and optimization. The extensive evaluations across multiple benchmarks demonstrate that ED2Mol surpasses existing methods in terms of the generation success rate and >97% physical reliability. It also facilitates automated hit optimization that is not fully implemented by other methods using fragment-based strategies. Furthermore, ED2Mol exhibits generalizability to more challenging, unseen allosteric pocket benchmarks, attaining consistent performance. More importantly, ED2Mol has been applied to various real-world essential targets, successfully identifying wet-laboratory-validated bioactive compounds, ranging from FGFR3 orthosteric inhibitors to CDC42 allosteric inhibitors, GCK and GPRC5A allosteric activators. The directly generated binding modes of these compounds are close to predictions through molecular docking and further validated via the X-ray co-crystal structure. All these results highlight ED2Mol’s potential as a useful tool in drug design with enhanced effectiveness, physical reliability and practical applicability.",10.1038/s42256-025-01095-7,,Nature Machine Intelligence,2025-09-10,,incremental,2025-09-10T19:28:24,2025-09-10T19:28:24
