id,title,abstract,doi,url,journal,pub_date,authors,type,created_at,updated_at
23,A comparative analysis of urban and peri-urban flood identification using SAR imagery,"Flooding in urban areas causes significant economic and social impacts on populations across the globe. Flood detection plays a pivotal role in disaster management, necessitating advanced methodologies to enhance accuracy and efficiency. Addressing this challenge requires delineating flood extent at a high spatial and temporal resolution. Efforts to fully quantify urban flood distribution utilizing the potential of Synthetic Aperture Radar (SAR) imageries in a cloud-based platform have ample potential but have yet to produce viable results in the urban landscape. Flood detection has been a challenging task in urban areas due to limitations of spatial-temporal resolution and complex back scatter mechanisms in urban settings. However, advancement in big-data and cloud-computing, data acquisition, satellite image processing and predictive analysis are rapidly becoming more accessible. Building on recent advancements, this study presents an analysis of methods exploring and comparing identification of flooded areas in urban and peri-urban locations, which has not been fully described. Using Houston, TX to test these methods, we compare flood maps generated from multiple classification method including constant threshold Change Detection Approach (CDA), Otsu method, and Machine Learning (ML) classification with Random Forest (RF) model using Sentinel-1 SAR images in Google Earth Engine (GEE). An extensive performance evaluation is conducted, including accuracy assessments, precision, recall, F1-score, and confusion matrices. The CDA approach shows the highest accuracy in peri-urban areas, while ML classifier outperforms both CDA and Otsu in urban settings. The analysis in this paper contributes to the development of flood detection methodologies in support of urban flood management.",10.1371/journal.pwat.0000269,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000269,PLOS Water,2025-09-11,Md Abdullah Al Mehedi; Virginia Smith; Peleg Kremer,incremental,2025-09-12T22:57:19,2025-09-12T22:57:19
18,Machine learning algorithms and their predictive accuracy for suicide and self-harm: Systematic review and meta-analysis,"There has been rapid expansion in the development of machine learning algorithms to predict suicidal behaviours. To test the accuracy of these algorithms for predicting suicide and hospital-treated self-harm, we undertook a systematic review and meta-analysis. The study was registered (PROSPERO CRD42024523074).",10.1371/journal.pmed.1004581,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1004581,PLOS Medicine,2025-09-11,Matthew J. Spittal; Xianglin Aneta Guo; Laurant Kang; Olivia J. Kirtley; Angela Clapperton; Keith Hawton; Nav Kapur; Jane Pirkis; Greg Carter,incremental,2025-09-12T22:19:02,2025-09-12T22:19:02
11,Human visual grouping based on within- and cross-area temporal correlations,"Perceptual organization in the human visual system involves neural mechanisms that spatially group and segment image areas based on local feature similarities, such as the temporal correlation of luminance changes. Successful segmentation models in computer vision, including graph-based algorithms and vision transformer, leverage similarity computations across all elements in an image, suggest that effective similarity-based grouping should rely on a global computational process. However, whether human vision employs a similarly global computation remains unclear due to the absence of appropriate methods for manipulating similarity matrices across multiple elements within a stimulus. To investigate how “temporal similarity structures” influence human visual segmentation, we developed a stimulus generation algorithm based on Vision Transformer. This algorithm independently controls within-area and cross-area similarities by adjusting the temporal correlation of luminance, color, and spatial phase attributes. To assess human segmentation performance with these generated texture stimuli, participants completed a temporal two-alternative forced-choice task, identifying which of two intervals contained a segmentable texture. The results showed that segmentation performance is significantly influenced by the configuration of both within- and cross-correlation across the elements, regardless of attribute type. Furthermore, human performance is closely aligned with predictions from a graph-based computational model, suggesting that human texture segmentation can be approximated by a global computational process that optimally integrates pairwise similarities across multiple elements.",10.1371/journal.pcbi.1013001,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1013001,PLOS Computational Biology,2025-09-11,Yen-Ju Chen; Zitang Sun; Shin’ya Nishida,incremental,2025-09-12T22:05:57,2025-09-12T22:05:57
10,A curriculum learning approach to training antibody language models,"There is growing interest in pre-training antibody language models (AbLMs) with a mixture of unpaired and natively paired sequences, seeking to combine the proven benefits of training with natively paired sequences with the massive scale of unpaired antibody sequence datasets. However, given the novelty of this strategy, the field lacks a systematic evaluation of data processing methods and training strategies that maximize the benefits of mixed training data while accommodating the significant imbalance in the size of existing paired and unpaired datasets. Here, we introduce a method of curriculum learning for AbLMs, which facilitates a gradual transition from unpaired to paired sequences during training. We optimize this method and compare it to other data sampling strategies for AbLMs, including a constant mix and a fine-tuning approach. We observe that the curriculum and constant approaches show improved performance compared to the fine-tuning approach in large-scale models, likely due to their ability to prevent catastrophic forgetting and slow overfitting. Finally, we show that a 650M-parameter curriculum model, CurrAb, outperforms existing mixed AbLMs in downstream residue prediction and classification tasks.",10.1371/journal.pcbi.1013473,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1013473,PLOS Computational Biology,2025-09-11,Sarah M. Burbach; Bryan Briney,incremental,2025-09-12T22:05:57,2025-09-12T22:05:57
9,HyperACP: A cutting-edge hybrid framework for anticancer peptide classification via scalable feature extraction and adaptive neighbor-based synthesis,"Cancer remains a major contributor to global mortality, constituting a significant and escalating threat to human health. Anticancer peptides (ACPs) have emerged as promising therapeutic agents due to their specific mechanisms of action, pronounced tumor-targeting capability, and low toxicity. Nevertheless, traditional approaches for ACP identification are constrained by their reliance on shallow, hand-crafted sequence features, which fail to capture deeper semantic and structural characteristics. Moreover, such models exhibit limited robustness and interpretability when confronted with practical challenges such as severe class imbalance. To address these limitations, this study proposes HyperACP, an innovative framework for ACP recognition that integrates deep representation learning, adaptive sampling, and mechanistic interpretability. The framework leverages the ESMC protein language model to extract comprehensive sequence features and employs a novel adaptive algorithm, ANBS, to mitigate class imbalance at the decision boundary. For enhanced model transparency, SHAP-Res is incorporated to elucidate the contributions of individual residues to the final predictions. Comprehensive evaluations demonstrate that HyperACP consistently outperforms state-of-the-art methods across multiple datasets and validation protocols—including 10-fold cross-validation and independent test sets—according to metrics such as Accuracy (ACC), Sensitivity (SN), Specificity (SP), Matthews Correlation Coefficient (MCC), and Area Under the Curve (AUC). Furthermore, the model yields biologically interpretable results, pinpointing key residues (K, L, F, G) known to play pivotal roles in anticancer activity. These findings provide not only a robust predictive tool (available atwww.hyperacp.com) but also novel insights into the structure-function relationships underlying ACPs.",10.1371/journal.pcbi.1013489,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1013489,PLOS Computational Biology,2025-09-11,Bangyi Zhang; Yun Zuo; Jun Wan; Jiayue Liu; Xiangrong Liu; Xiangxiang Zeng; Zhaohong Deng,incremental,2025-09-12T22:05:57,2025-09-12T22:05:57
8,Cortical networks with multiple interneuron types generate oscillatory patterns during predictive coding,"Predictive coding (PC) proposes that our brains work as an inference machine, generating an internal model of the world and minimizing predictions errors (i.e., differences between external sensory evidence and internal prediction signals). Theoretical models of PC often rely on high-level approaches, and therefore implementations detailing which neurons or pathways are used to compute prediction errors or adapt the internal representations, as well as their level of agreement with biological circuitry, are currently missing. Here we propose a computational model of PC, which integrates a neuroanatomically informed hierarchy of two cortical areas with a simplified laminar organization and cell-type-specific connectivity between excitatory, PV, SST and VIP cells. Our model efficiently performs PC, even in the presence of external and internal noise, by forming latent representations of naturalistic visual input (MNIST, fashion-MNIST and grayscale CIFAR-10) via Hebbian learning and using them to predict sensory input by minimizing prediction errors. The model assumes that both positive and negative prediction errors are computed by stereotypical excitatory-PV-SST-VIP circuits with the same structure but different incoming input. During sensory inference, neural oscillatory activity emerges in the system due to interactions between representation and prediction error microcircuits, with optogenetics-inspired inactivation protocols revealing a differentiated role of PV, SST and VIP cell types in such dynamics. Finally, our model shows anomalous responses to deviant stimuli within series of same-image presentations, in agreement with experimental results on mismatch negativity and oddball paradigms. We argue that our model constitutes an important step to better understand the circuits mediating PC in real cortical networks.",10.1371/journal.pcbi.1013469,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1013469,PLOS Computational Biology,2025-09-10,Kwangjun Lee; Cyriel M. A. Pennartz; Jorge F. Mejias,incremental,2025-09-12T22:05:57,2025-09-12T22:05:57
21,CLASV: Rapid Lassa virus lineage assignment with random forest,"Lassa fever, caused by the Lassa virus (LASV), is a deadly disease characterized by hemorrhages. Annually, it affects approximately 300,000 people in West Africa and causes about 5,000 deaths. It currently has no approved vaccine and is categorized as a top-priority disease. Apart from its endemicity to West Africa, there have been exported cases in almost all continents, including several European countries. Distinct Lassa virus lineages circulate in specific regions, and have been reported to show varying immunological behaviors and may contribute to differing disease outcomes. It is therefore important to rapidly identify which lineage caused an outbreak or an exported case. We present CLASV, a machine learning-based lineage assignment tool built using a Random Forest classifier. CLASV processes raw nucleotide sequences and assigns them to the dominant circulating lineages (II, III, and IV/V) rapidly and accurately. CLASV is implemented in Python for ease of integration into existing workflows and is freely available for public use.",10.1371/journal.pntd.0013512,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013512,PLOS Neglected Tropical Diseases,2025-09-09,Richard Olumide Daodu; Ebenezer Awotoro; Jens-Uwe Ulrich; Denise Kühnert,incremental,2025-09-12T22:25:49,2025-09-12T22:25:49
22,Characterizing the temporal and spatial heterogeneous interaction among multiple indicators within water through time with fuzzy cognitive maps,"Water quality indicators are interrelated, and their interactions vary across different monitoring sites. Additionally, environmental management and policies introduce temporal and spatial heterogeneity. Therefore, predicting water quality indicators requires careful consideration of the relationship among all indicators. Traditional machine learning methods often struggle to process data from independent variables to dependent variables in an inexplicable manner. Some variables are both independent and dependent alongside the temporal axis. In contrast, Fuzzy Cognitive Maps (FCMs) could model all variables over time to complete the time series prediction task involved with multi-variables, and then output a graph showing the relationship among all variables. Current research aims to uncover the temporal and spatial heterogeneity hidden in each monitoring site across different years via FCMs. This study aims to reveal the temporal and spatial heterogeneity in water quality data from 12 monitoring sites across nine rivers in Tongzhou, Beijing, China (1stJanuary, 2016–31stDecember, 2023). Using this comprehensive dataset, we construct interactive and predictive models for each site. The analyzed results from the produced graphs will help infer the interaction between any pair of variables and predict the concrete amount of variables in future time stamps. The effect between each pair of indicators could be qualitatively and quantitatively analyzed with the graph produced by FCMs. This approach helps in curbing and preventing water pollution by understanding the interactions between various factors.",10.1371/journal.pwat.0000400,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000400,PLOS Water,2025-09-08,Xu Wang; Meijia Wang; Deying Yu; Xiaoyan Liu; Peng Bai; Shiqi Sun; Jiaxuan Wu; Jianwei Qi; Chuangpeng Lian; Kun Wang; Linqiang Deng; Fuzhong Li; Kai Zhang,incremental,2025-09-12T22:57:19,2025-09-12T22:57:19
17,"Consent-driven, semi-automated data collection during birth and newborn resuscitation: Insights from the NewbornTime study","Accurate observations at birth and during newborn resuscitation are fundamental for quality improvement initiatives and research. However, manual data collection methods often lack consistency and objectivity, are not scalable, and may raise privacy concerns. The NewbornTime project aims to develop an AI system that generates accurate timelines from birth and newborn resuscitation events by automated video recording and processing, providing a source of objective and consistent data. This work aims to describe the implementation of the data collection system that is necessary to support the project’s purpose. Videos were recorded using thermal sensors in labor rooms and thermal and visible light cameras in resuscitation rooms. Consent from mothers was obtained before birth, and healthcare providers were given the option to delete videos by opting out on a case-by-case basis. The video collection process was designed to minimize interference with ongoing treatment and not impose unnecessary burden on healthcare providers. At Stavanger University Hospital, 1012 thermal videos of birth and 274 visible light videos of newborn stabilization and resuscitation have been collected during the data collection period from November 2021 to June 2025. The utilization of automated data collection and AI video processing around birth may allow for consistent and enhanced documentation, quality improvement initiatives, and research opportunities on sequence, timing and duration of treatment activities during acute events, with less effort needed for capturing data and improved privacy for participants.",10.1371/journal.pdig.0000730,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000730,PLOS Digital Health,2025-09-08,Sara Brunner; Anders Johannessen; Jorge García-Torres; Ferhat Özgur Catak; Øyvind Meinich-Bache; Siren Rettedal; Kjersti Engan,incremental,2025-09-12T22:06:42,2025-09-12T22:06:42
16,Evaluating anti-LGBTQIA+ medical bias in large language models,"Large Language Models (LLMs) are increasingly deployed in clinical settings for tasks ranging from patient communication to decision support. While these models demonstrate race-based and binary gender biases, anti-LGBTQIA+ bias remains understudied despite documented healthcare disparities affecting these populations. In this work, we evaluated the potential of LLMs to propagate anti-LGBTQIA+ medical bias and misinformation. We prompted 4 LLMs (Gemini 1.5 Flash, Claude 3 Haiku, GPT-4o, Stanford Medicine Secure GPT [GPT-4.0]) with 38 prompts consisting of explicit questions and synthetic clinical notes created by medically-trained reviewers and LGBTQIA+ health experts. The prompts consisted of pairs of prompts with and without LGBTQIA+ identity terms and explored clinical situations across two axes: (i) situations where historical bias has been observedversusnot observed, and (ii) situations where LGBTQIA+ identity is relevant to clinical careversusnot relevant. Medically-trained reviewers evaluated LLM responses for appropriateness (safety, privacy, hallucination/accuracy, and bias) and clinical utility. We found that all 4 LLMs generated inappropriate responses for prompts with and without LGBTQIA+ identity terms. The proportion of inappropriate responses ranged from 43-62% for prompts mentioning LGBTQIA+ identitiesversus47–65% for those without. The most common reason for inappropriate classification tended to be hallucination/accuracy, followed by bias or safety. Qualitatively, we observed differential bias patterns, with LGBTQIA+ prompts eliciting more severe bias. Average clinical utility score for inappropriate responses was lower than for appropriate responses (2.6versus3.7 on a 5-point Likert scale). Future work should focus on tailoring output formats to stated use cases, decreasing sycophancy and reliance on extraneous information in the prompt, and improving accuracy and decreasing bias for LGBTQIA+ patients. We present our prompts and annotated responses as a benchmark for evaluation of future models. Content warning: This paper includes prompts and model-generated responses that may be offensive.",10.1371/journal.pdig.0001001,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0001001,PLOS Digital Health,2025-09-08,Crystal T. Chang; Neha Srivathsa; Charbel Bou-Khalil; Akshay Swaminathan; Mitchell R. Lunn; Kavita Mishra; Sanmi Koyejo; Roxana Daneshjou,incremental,2025-09-12T22:06:42,2025-09-12T22:06:42
